tc,beta,r_squared,slope,intercept,fit_points,is_valid
1.26000000,0.00000000,-inf,0.00000000,0.00000000,0 ,false
1.26010000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26020000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26030000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26040000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26050000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26060000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26070000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26080000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26090000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26100000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26110000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26120000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26130000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26140000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26150000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26160000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26170000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26180000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26190000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26200000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26210000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26220000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26230000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26240000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26250000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26260000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26270000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26280000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26290000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26300000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26310000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26320000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26330000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26340000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26350000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26360000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26370000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26380000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26390000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26400000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26410000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26420000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26430000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26440000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26450000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26460000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26470000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26480000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26490000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26500000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26510000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26520000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26530000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26540000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26550000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26560000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26570000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26580000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26590000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26600000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26610000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26620000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26630000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26640000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26650000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26660000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26670000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26680000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26690000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26700000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26710000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26720000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26730000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26740000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26750000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26760000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26770000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26780000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26790000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26800000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26810000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26820000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26830000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26840000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26850000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26860000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26870000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26880000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26890000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26900000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
1.26910000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
