temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
0.01000000,-1.41960733,0.10489067,4.19707556,32.38922360
0.06000000,-1.41899378,0.11093856,0.06508840,5.27281112
0.11000000,-1.41882956,0.10887067,0.06368448,2.87478401
0.16000000,-1.42650022,0.12231789,0.04254059,2.11292998
0.21000000,-1.42050467,0.11976444,0.04035594,1.53312971
0.26000000,-1.42491044,0.09829622,0.02212341,1.19009280
0.31000000,-1.42278822,0.09254111,0.00277904,0.96785206
0.36000000,-1.41625089,0.09665511,0.01434652,0.98904729
0.41000000,-1.42663044,0.11519356,0.01861032,0.83726228
0.46000000,-1.42150222,0.09868856,0.05682231,0.86387423
0.51000000,-1.42439756,0.08425289,0.04266540,1.03744053
0.56000000,-1.42581933,0.11616811,0.04967141,0.93924049
0.61000000,-1.43034933,0.10136522,0.09082580,1.19558818
0.66000000,-1.42839089,0.11395089,0.09427526,1.20045345
0.71000000,-1.42264267,0.09604622,0.12253359,1.38702937
0.76000000,-1.41584689,0.12815411,0.14996400,1.62009017
0.81000000,-1.41079800,0.08584078,0.16900290,1.73844996
0.86000000,-1.39576133,0.12936722,0.19934006,2.40748234
0.91000000,-1.38893222,0.12016267,0.22008087,2.92491581
0.96000000,-1.37924844,0.11032811,0.25403252,2.63794259
1.01000000,-1.36160667,0.11912278,0.27532333,3.39759399
1.06000000,-1.34208467,0.09824189,0.30097313,3.39473024
1.11000000,-1.33801089,0.10898178,0.32514284,4.38104569
1.16000000,-1.31461289,0.11396178,0.34786709,4.97787753
1.21000000,-1.30312289,0.09816211,0.36880717,4.62888683
1.26000000,-1.27869822,0.09720011,0.38819403,5.15447591
1.31000000,-1.25844067,0.11468978,0.42261019,4.66563203
1.36000000,-1.23630178,0.08872556,0.43220072,4.54292381
1.41000000,-1.21221200,0.08501367,0.45482033,4.97775453
1.46000000,-1.19010044,0.07786889,0.43432488,3.99339686
1.51000000,-1.17005978,0.08054889,0.44991017,4.27800335
1.56000000,-1.14869311,0.08391300,0.45207814,4.96960729
1.61000000,-1.12371956,0.07437322,0.45393892,4.32804965
1.66000000,-1.10046756,0.07035944,0.45850103,3.93545263
1.71000000,-1.07111778,0.07183856,0.43155119,3.48386640
1.76000000,-1.05227067,0.07064633,0.44292803,3.62349348
1.81000000,-1.03382400,0.06956522,0.42761697,3.46376151
1.86000000,-1.01732422,0.06768656,0.43908719,3.18301568
1.91000000,-0.99121667,0.06441256,0.41045337,2.92470690
1.96000000,-0.97058644,0.06064789,0.40136682,2.57500022
2.01000000,-0.95393000,0.06129778,0.38907132,2.55650474
2.06000000,-0.92830689,0.05986933,0.37931214,2.34050411
2.11000000,-0.90953511,0.05817589,0.35946892,2.17846574
2.16000000,-0.89455244,0.05579367,0.36557177,1.96079701
2.21000000,-0.87777644,0.05561956,0.35669603,1.94544259
2.26000000,-0.85811311,0.05550078,0.34742329,1.88609630
2.31000000,-0.84590178,0.05406567,0.33400559,1.73295804
2.36000000,-0.82353111,0.05266833,0.31381719,1.64160754
2.41000000,-0.80776444,0.05111189,0.30902665,1.52295411
2.46000000,-0.79335133,0.05012689,0.29288424,1.41707639
2.51000000,-0.77674889,0.04781667,0.28703912,1.27689041
2.56000000,-0.76834622,0.04968200,0.28171122,1.34445320
2.61000000,-0.75301511,0.04900244,0.27113875,1.28201330
2.66000000,-0.73614467,0.04650178,0.25570038,1.13844974
2.71000000,-0.72567556,0.04695178,0.25217186,1.13977987
2.76000000,-0.71462511,0.04692733,0.24449173,1.11790915
2.81000000,-0.70153711,0.04581300,0.23983180,1.04345981
2.86000000,-0.68833689,0.04486933,0.22756516,0.99125919
2.91000000,-0.67882778,0.04403678,0.22582032,0.93513303
2.96000000,-0.66810444,0.04482678,0.21409896,0.94969245
3.01000000,-0.65764000,0.04366967,0.21295910,0.88986821
3.06000000,-0.64596267,0.04336244,0.20481663,0.86314845
3.11000000,-0.63449556,0.04328067,0.19852748,0.84147858
3.16000000,-0.62631711,0.04229511,0.19231594,0.79716703
3.21000000,-0.61678800,0.04215278,0.18859724,0.77563413
3.26000000,-0.60726044,0.04166778,0.17934823,0.74335809
3.31000000,-0.60011178,0.04128111,0.17694270,0.71718162
3.36000000,-0.59060489,0.04092556,0.17011251,0.70344996
3.41000000,-0.58244778,0.04055667,0.16789194,0.68077651
3.46000000,-0.57261067,0.04076622,0.15933139,0.67800578
3.51000000,-0.56527400,0.04066544,0.15952738,0.66611421
3.56000000,-0.55727133,0.03993211,0.15267902,0.62616681
3.61000000,-0.54950800,0.03910144,0.15074942,0.60163509
3.66000000,-0.54284622,0.03908511,0.14730135,0.58899276
