temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.93934430,0.82519363,0.04586148,1.19705632
1.05000000,-1.93140400,0.77138170,0.05956889,2.02364193
1.10000000,-1.93142711,0.79309837,0.22651144,4.55930575
1.15000000,-1.90866104,0.70464044,0.09315013,6.39782369
1.20000000,-1.95212844,0.93374511,0.20769139,2.34076314
1.25000000,-1.93189733,0.85378896,0.33207312,5.84656230
1.30000000,-1.92960889,0.88233837,0.74689133,12.97353459
1.35000000,-1.92096533,0.86418652,0.20390491,3.47702877
1.40000000,-1.91623704,0.87212844,0.27423339,4.29639723
1.45000000,-1.91704933,0.91339904,0.29182034,4.46315311
1.50000000,-1.89843407,0.86664267,0.38725144,5.92215095
1.55000000,-1.89975926,0.92843022,0.25041216,0.57351547
1.60000000,-1.88882444,0.93846304,0.38478447,1.70281802
1.65000000,-1.87146993,0.92204052,0.58942863,4.54095080
1.70000000,-1.85315867,0.91128689,0.36838332,1.86449831
1.75000000,-1.84519778,0.94752896,0.50322009,1.81848346
1.80000000,-1.82593407,0.94814067,0.46042815,0.14453774
1.85000000,-1.80083659,0.93830437,0.51342383,0.18517566
1.90000000,-1.77388356,0.92696267,0.60206687,0.25714772
1.95000000,-1.74167467,0.91255681,0.67693763,0.36780526
2.00000000,-1.70630178,0.89490037,0.76918560,0.60965388
2.05000000,-1.66381185,0.87296474,0.90249214,0.86956774
2.10000000,-1.61439689,0.84215333,1.02553707,1.34292458
2.15000000,-1.56151022,0.80524941,1.17728617,2.45342473
2.20000000,-1.48897852,0.72526733,1.44816492,7.61885663
2.25000000,-1.39868000,0.59711119,1.64784987,30.88536561
2.30000000,-1.31697881,0.47902022,1.44711827,27.38404663
2.35000000,-1.24030222,0.36921222,1.28912255,28.93779608
2.40000000,-1.17946267,0.29488681,1.06544181,27.54678296
2.45000000,-1.12523244,0.22893459,0.91366339,23.27512358
2.50000000,-1.08358593,0.19906874,0.78529023,19.53180816
2.55000000,-1.04514607,0.16621822,0.71793527,12.81686770
2.60000000,-1.00788889,0.14506526,0.64077815,10.23104632
2.65000000,-0.97688844,0.13396393,0.59937749,8.24484293
2.70000000,-0.94953230,0.12811304,0.55307602,7.68746783
2.75000000,-0.92281556,0.11481237,0.53337588,6.59246812
2.80000000,-0.89637733,0.10713985,0.49416927,5.60072590
2.85000000,-0.87231556,0.09990526,0.45866499,4.73506893
2.90000000,-0.84880193,0.09709304,0.43887783,4.43730534
2.95000000,-0.82885852,0.09361422,0.41727836,4.03517509
3.00000000,-0.80815244,0.08761496,0.39984383,3.50251170
3.05000000,-0.78972815,0.08489511,0.36883390,3.26253174
3.10000000,-0.77160281,0.08105422,0.34224344,2.87403302
3.15000000,-0.75449378,0.07881178,0.32735365,2.74575471
3.20000000,-0.73820296,0.07711111,0.31644502,2.55217501
3.25000000,-0.72249244,0.07446689,0.30037146,2.35381643
3.30000000,-0.70832904,0.07286430,0.29144338,2.24575277
3.35000000,-0.69411570,0.07056244,0.27563212,2.06120189
3.40000000,-0.68082311,0.06802956,0.26440289,1.92413364
3.45000000,-0.66833170,0.06637800,0.24708199,1.78445087
3.50000000,-0.65483763,0.06426341,0.24338490,1.65096408
3.55000000,-0.64312474,0.06361926,0.23046499,1.60629442
3.60000000,-0.63177052,0.06210437,0.21962320,1.48889584
3.65000000,-0.62040119,0.06095267,0.21594486,1.42641223
3.70000000,-0.61092578,0.05937096,0.20552121,1.32735724
3.75000000,-0.60057215,0.05810089,0.19780330,1.24792015
3.80000000,-0.59039822,0.05713230,0.19310767,1.20537610
3.85000000,-0.58144444,0.05768133,0.18686047,1.20714872
3.90000000,-0.57215852,0.05561874,0.17956769,1.10673054
3.95000000,-0.56247185,0.05509289,0.17354124,1.07526671
4.00000000,-0.55408370,0.05463178,0.16690550,1.03514533
