temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
2.00000000,-1.74714941,0.91211572,0.71270844,0.33300138
2.00500000,-1.74454639,0.91189868,0.70292324,0.31850954
2.01000000,-1.73862451,0.90821265,0.72853042,0.44583388
2.01500000,-1.73653223,0.90738672,0.73460014,0.39417524
2.02000000,-1.72986963,0.90353369,0.75163349,0.45025237
2.02500000,-1.72516406,0.90090015,0.87315708,0.62808141
2.03000000,-1.72296094,0.90069092,0.80604989,0.52696168
2.03500000,-1.71932373,0.89866284,0.77057640,0.45016917
2.04000000,-1.71383887,0.89587061,0.73571290,0.47223544
2.04500000,-1.71120215,0.89494189,0.82677086,0.53881643
2.05000000,-1.70832764,0.89456763,0.79595037,0.45301970
2.05500000,-1.70039941,0.88952246,0.83657386,0.52050232
2.06000000,-1.69329248,0.88538184,0.86793551,0.63972256
2.06500000,-1.69127881,0.88524878,0.90158754,0.63190942
2.07000000,-1.68557129,0.88039917,0.94662213,0.81910486
2.07500000,-1.68741553,0.88286035,0.88169457,0.68508490
2.08000000,-1.68242627,0.88118140,0.88080076,0.60598969
2.08500000,-1.68075049,0.87915942,1.01165531,1.03652562
2.09000000,-1.67383105,0.87635474,0.86020398,0.70604051
2.09500000,-1.64561475,0.77785083,2.65754452,64.89144681
2.10000000,-1.62948047,0.74526538,2.25695530,70.92674497
2.10500000,-1.65655176,0.86749487,0.96348203,0.79609757
2.11000000,-1.64898047,0.86015332,1.04117374,1.00539755
2.11500000,-1.64617969,0.86073267,0.91846457,0.83966798
2.12000000,-1.63892334,0.84367749,1.16366095,4.83877480
2.12500000,-1.63990234,0.85703638,0.96388356,1.07205386
2.13000000,-1.63142578,0.85333496,1.08317491,0.91257340
2.13500000,-1.62243262,0.84001929,1.18695065,1.87457016
2.14000000,-1.62106055,0.83929883,1.15295093,2.10955641
2.14500000,-1.52451416,0.34716455,1.40063219,131.20683350
2.15000000,-1.61842041,0.84607764,1.05155371,1.09831110
2.15500000,-1.60660059,0.83471680,1.23167733,1.47155190
2.16000000,-1.60280273,0.83364551,1.02360654,1.38977971
2.16500000,-1.59300977,0.82328320,1.04451998,1.98028198
2.17000000,-1.58567432,0.82200220,1.07494242,1.36465224
2.17500000,-1.58466064,0.81982617,1.13905647,1.99339843
2.18000000,-1.56801172,0.80074292,1.15521505,2.63410772
2.18500000,-1.56594141,0.80413257,1.27105252,2.59163771
2.19000000,-1.54950781,0.77976392,1.32623185,3.59880655
2.19500000,-1.55388916,0.76780469,1.88581809,19.04040909
2.20000000,-1.53897656,0.77236401,1.14864513,3.82434175
