tc,beta,r_squared,slope,intercept,fit_points,is_valid
2.00000000,0.00000000,-inf,0.00000000,0.00000000,0 ,false
2.00050000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.00100000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.00150000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.00200000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.00250000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.00300000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.00350000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.00400000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.00450000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.00500000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.00550000,0.00000000,-inf,0.00000000,0.00000000,2 ,false
2.00600000,0.00000000,-inf,0.00000000,0.00000000,2 ,false
2.00650000,0.00000000,-inf,0.00000000,0.00000000,2 ,false
2.00700000,0.00000000,-inf,0.00000000,0.00000000,2 ,false
2.00750000,0.00000000,-inf,0.00000000,0.00000000,2 ,false
2.00800000,0.00000000,-inf,0.00000000,0.00000000,2 ,false
2.00850000,0.00000000,-inf,0.00000000,0.00000000,2 ,false
2.00900000,0.00000000,-inf,0.00000000,0.00000000,2 ,false
2.00950000,0.00000000,-inf,0.00000000,0.00000000,2 ,false
2.01000000,0.00000000,-inf,0.00000000,0.00000000,2 ,false
2.01050000,0.00000000,-inf,0.00000000,0.00000000,3 ,false
2.01100000,0.00000000,-inf,0.00000000,0.00000000,3 ,false
2.01150000,0.00000000,-inf,0.00000000,0.00000000,3 ,false
2.01200000,0.00000000,-inf,0.00000000,0.00000000,3 ,false
2.01250000,0.00000000,-inf,0.00000000,0.00000000,3 ,false
2.01300000,0.00000000,-inf,0.00000000,0.00000000,3 ,false
2.01350000,0.00000000,-inf,0.00000000,0.00000000,3 ,false
2.01400000,0.00000000,-inf,0.00000000,0.00000000,3 ,false
2.01450000,0.00000000,-inf,0.00000000,0.00000000,3 ,false
2.01500000,0.00000000,-inf,0.00000000,0.00000000,3 ,false
2.01550000,0.00148616,0.71987075,0.00148616,-0.08642129,4 ,true
2.01600000,0.00191456,0.76067932,0.00191456,-0.08452663,4 ,true
2.01650000,0.00226535,0.78605965,0.00226535,-0.08303158,4 ,true
2.01700000,0.00257818,0.80391993,0.00257818,-0.08173883,4 ,true
2.01750000,0.00286776,0.81727320,0.00286776,-0.08057407,4 ,true
2.01800000,0.00314143,0.82764019,0.00314143,-0.07949958,4 ,true
2.01850000,0.00340349,0.83590421,0.00340349,-0.07849314,4 ,true
2.01900000,0.00365667,0.84262423,0.00365667,-0.07754031,4 ,true
2.01950000,0.00390287,0.84817524,0.00390287,-0.07663114,4 ,true
2.02000000,0.00414341,0.85281978,0.00414341,-0.07575842,4 ,true
2.02050000,0.00246643,0.88359047,0.00246643,-0.08328737,5 ,true
2.02100000,0.00307749,0.91030029,0.00307749,-0.08072457,5 ,true
2.02150000,0.00356060,0.92500981,0.00356060,-0.07877034,5 ,true
2.02200000,0.00398203,0.93436400,0.00398203,-0.07711598,5 ,true
2.02250000,0.00436617,0.94073552,0.00436617,-0.07564692,5 ,true
2.02300000,0.00472510,0.94525363,0.00472510,-0.07430598,5 ,true
2.02350000,0.00506578,0.94853998,0.00506578,-0.07305993,5 ,true
2.02400000,0.00539262,0.95096916,0.00539262,-0.07188754,5 ,true
2.02450000,0.00570862,0.95278133,0.00570862,-0.07077435,5 ,true
2.02500000,0.00601591,0.95413774,0.00601591,-0.06971003,5 ,true
2.02550000,0.00310179,0.83320762,0.00310179,-0.08221158,6 ,true
2.02600000,0.00384895,0.87493352,0.00384895,-0.07916850,6 ,true
2.02650000,0.00443011,0.89922067,0.00443011,-0.07688428,6 ,true
2.02700000,0.00493101,0.91552679,0.00493101,-0.07497302,6 ,true
2.02750000,0.00538328,0.92727072,0.00538328,-0.07329145,6 ,true
2.02800000,0.00580261,0.93610296,0.00580261,-0.07176806,6 ,true
2.02850000,0.00619805,0.94294648,0.00619805,-0.07036138,6 ,true
2.02900000,0.00657535,0.94836674,0.00657535,-0.06904494,6 ,true
2.02950000,0.00693840,0.95273267,0.00693840,-0.06780076,6 ,true
2.03000000,0.00728997,0.95629643,0.00728997,-0.06661597,6 ,true
2.03050000,0.00304551,0.66945588,0.00304551,-0.08412438,7 ,true
2.03100000,0.00379983,0.72835797,0.00379983,-0.08111266,7 ,true
2.03150000,0.00438316,0.76514510,0.00438316,-0.07886254,7 ,true
2.03200000,0.00488325,0.79142897,0.00488325,-0.07698823,7 ,true
2.03250000,0.00533265,0.81149142,0.00533265,-0.07534589,7 ,true
2.03300000,0.00574757,0.82744304,0.00574757,-0.07386358,7 ,true
2.03350000,0.00613739,0.84048996,0.00613739,-0.07249947,7 ,true
2.03400000,0.00650807,0.85138770,0.00650807,-0.07122681,7 ,true
2.03450000,0.00686368,0.86064042,0.00686368,-0.07002741,7 ,true
2.03500000,0.00720708,0.86860064,0.00720708,-0.06888825,7 ,true
2.03550000,0.00337869,0.67134853,0.00337869,-0.08419830,8 ,true
2.03600000,0.00416055,0.72624745,0.00416055,-0.08117332,8 ,true
2.03650000,0.00475664,0.76041435,0.00475664,-0.07894338,8 ,true
2.03700000,0.00526341,0.78490807,0.00526341,-0.07710008,8 ,true
2.03750000,0.00571625,0.80372767,0.00571625,-0.07549293,8 ,true
2.03800000,0.00613264,0.81881621,0.00613264,-0.07404741,8 ,true
2.03850000,0.00652262,0.83127241,0.00652262,-0.07272055,8 ,true
2.03900000,0.00689253,0.84177936,0.00689253,-0.07148510,8 ,true
2.03950000,0.00724665,0.85079055,0.00724665,-0.07032260,8 ,true
2.04000000,0.00758802,0.85862209,0.00758802,-0.06921991,8 ,true
2.04050000,0.00395893,0.71379043,0.00395893,-0.08333489,9 ,true
2.04100000,0.00481053,0.76516353,0.00481053,-0.08013824,9 ,true
2.04150000,0.00544960,0.79638115,0.00544960,-0.07781827,9 ,true
2.04200000,0.00598767,0.81841995,0.00598767,-0.07591873,9 ,true
2.04250000,0.00646526,0.83517159,0.00646526,-0.07427331,9 ,true
2.04300000,0.00690223,0.84849629,0.00690223,-0.07280038,9 ,true
2.04350000,0.00730990,0.85943130,0.00730990,-0.07145322,9 ,true
2.04400000,0.00769541,0.86861366,0.00769541,-0.07020242,9 ,true
2.04450000,0.00806353,0.87646182,0.00806353,-0.06902815,9 ,true
2.04500000,0.00841765,0.88326475,0.00841765,-0.06791640,9 ,true
2.04550000,0.00417363,0.66950553,0.00417363,-0.08397151,10 ,true
2.04600000,0.00506385,0.72655079,0.00506385,-0.08069782,10 ,true
2.04650000,0.00572635,0.76155888,0.00572635,-0.07834049,10 ,true
2.04700000,0.00628073,0.78646607,0.00628073,-0.07642143,10 ,true
2.04750000,0.00677044,0.80552182,0.00677044,-0.07476665,10 ,true
2.04800000,0.00721673,0.82076559,0.00721673,-0.07329091,10 ,true
2.04850000,0.00763172,0.83333900,0.00763172,-0.07194549,10 ,true
2.04900000,0.00802300,0.84394586,0.00802300,-0.07069974,10 ,true
2.04950000,0.00839571,0.85305010,0.00839571,-0.06953303,10 ,true
2.05000000,0.00875343,0.86097313,0.00875343,-0.06843079,10 ,true
2.05050000,0.00420420,0.61155032,0.00420420,-0.08520788,11 ,true
2.05100000,0.00509506,0.67108050,0.00509506,-0.08199481,11 ,true
2.05150000,0.00575426,0.70817494,0.00575426,-0.07969260,11 ,true
2.05200000,0.00630372,0.73492525,0.00630372,-0.07782464,11 ,true
2.05250000,0.00678763,0.75564302,0.00678763,-0.07621799,11 ,true
2.05300000,0.00722754,0.77240292,0.00722754,-0.07478812,11 ,true
2.05350000,0.00763575,0.78637023,0.00763575,-0.07348681,11 ,true
2.05400000,0.00801995,0.79826617,0.00801995,-0.07228375,11 ,true
2.05450000,0.00838531,0.80856820,0.00838531,-0.07115859,11 ,true
2.05500000,0.00873548,0.81760865,0.00873548,-0.07009693,11 ,true
2.05550000,0.00516343,0.72087895,0.00516343,-0.08300636,12 ,true
2.05600000,0.00613106,0.76852539,0.00613106,-0.07962669,12 ,true
2.05650000,0.00683571,0.79692728,0.00683571,-0.07724458,12 ,true
2.05700000,0.00741822,0.81684516,0.00741822,-0.07532821,12 ,true
2.05750000,0.00792871,0.83197406,0.00792871,-0.07368812,12 ,true
2.05800000,0.00839135,0.84403932,0.00839135,-0.07223298,12 ,true
2.05850000,0.00881973,0.85398601,0.00881973,-0.07091127,12 ,true
2.05900000,0.00922232,0.86238665,0.00922232,-0.06969091,12 ,true
2.05950000,0.00960476,0.86961340,0.00960476,-0.06855052,12 ,true
2.06000000,0.00997099,0.87592119,0.00997099,-0.06747508,12 ,true
2.06050000,0.00617850,0.77652736,0.00617850,-0.08089776,13 ,true
2.06100000,0.00727423,0.82267411,0.00727423,-0.07715807,13 ,true
2.06150000,0.00806212,0.84920101,0.00806212,-0.07455677,13 ,true
2.06200000,0.00870810,0.86724988,0.00870810,-0.07248215,13 ,true
2.06250000,0.00927087,0.88059870,0.00927087,-0.07071782,13 ,true
2.06300000,0.00977857,0.89099168,0.00977857,-0.06916000,13 ,true
2.06350000,0.01024700,0.89937381,0.01024700,-0.06775046,13 ,true
2.06400000,0.01068595,0.90631145,0.01068595,-0.06645306,13 ,true
2.06450000,0.01110191,0.91216884,0.01110191,-0.06524380,13 ,true
2.06500000,0.01149943,0.91719285,0.01149943,-0.06410589,13 ,true
2.06550000,0.00647366,0.72044699,0.00647366,-0.08149223,14 ,true
2.06600000,0.00764892,0.77621704,0.00764892,-0.07753222,14 ,true
2.06650000,0.00849094,0.80915155,0.00849094,-0.07478576,14 ,true
2.06700000,0.00917880,0.83199035,0.00917880,-0.07260245,14 ,true
2.06750000,0.00977603,0.84912839,0.00977603,-0.07075156,14 ,true
2.06800000,0.01031315,0.86262533,0.01031315,-0.06912224,14 ,true
2.06850000,0.01080732,0.87361225,0.01080732,-0.06765215,14 ,true
