temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.50000000,-1.95071029,0.98638411,0.20569662,0.02817113
1.55000000,-1.93947201,0.98304818,0.21843180,0.03254627
1.60000000,-1.92830143,0.97970410,0.28039880,0.04591490
1.65000000,-1.91357031,0.97508626,0.29458121,0.05251980
1.70000000,-1.89631250,0.96945638,0.33211283,0.06875258
1.75000000,-1.87989909,0.96396712,0.40198519,0.09691598
1.80000000,-1.86079753,0.95753516,0.43526089,0.10851869
1.85000000,-1.72855143,0.17149089,0.50823821,26.59443931
1.90000000,-1.70093750,0.07137272,0.58867555,16.05785045
1.95000000,-1.78000065,0.92647168,0.60933867,0.24490248
2.00000000,-1.74342448,0.90795247,0.76485894,0.75147550
2.05000000,-1.70523633,0.89170020,0.85211409,0.56293185
2.10000000,-1.65786068,0.86475033,0.86923986,0.82600722
2.15000000,-1.61433984,0.84253776,0.88623885,0.97190787
2.20000000,-1.54222786,0.78074219,1.22545984,3.31690447
2.25000000,-1.46278776,0.70031803,1.19098115,4.41550123
2.30000000,-1.35191016,0.44284017,1.81649136,30.49312415
2.35000000,-1.26323828,0.26889323,1.15473079,65.26998157
2.40000000,-1.20890885,0.21149512,1.05711129,85.04312900
2.45000000,-1.16116536,0.12112663,1.00016501,36.85849452
2.50000000,-1.10295378,0.08167383,0.77194270,14.24091951
2.55000000,-1.06282422,0.07068880,0.73391751,12.43984862
2.60000000,-1.02799609,0.07227214,0.69293665,11.89622009
2.65000000,-0.99219922,0.07714030,0.55965490,12.65351797
2.70000000,-0.96570052,0.06380534,0.59410559,8.39900591
2.75000000,-0.93710352,0.05678711,0.56264041,7.23791346
2.80000000,-0.90690755,0.04756413,0.50386238,5.11895018
2.85000000,-0.88708594,0.05708822,0.48180848,7.17866956
2.90000000,-0.86162435,0.04747168,0.48572229,4.83232874
2.95000000,-0.83466341,0.04165365,0.41777440,3.87201956
3.00000000,-0.81475000,0.04325553,0.35330364,3.97769110
3.05000000,-0.79654492,0.03826855,0.38105506,3.06251899
3.10000000,-0.78111133,0.03467350,0.34770225,2.44149116
