tc,beta,r_squared,slope,intercept,fit_points,is_valid
2.10000000,0.00000000,-inf,0.00000000,0.00000000,0 ,false
2.10050000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10100000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10150000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10200000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10250000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10300000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10350000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10400000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10450000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10500000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10550000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10600000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10650000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10700000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10750000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10800000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10850000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10900000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.10950000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11000000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11050000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11100000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11150000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11200000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11250000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11300000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11350000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11400000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11450000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11500000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11550000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11600000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11650000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11700000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11750000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11800000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11850000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11900000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.11950000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12000000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12050000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12100000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12150000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12200000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12250000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12300000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12350000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12400000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12450000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12500000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12550000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12600000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12650000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12700000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12750000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12800000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12850000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12900000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.12950000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13000000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13050000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13100000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13150000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13200000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13250000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13300000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13350000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13400000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13450000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13500000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13550000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13600000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13650000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13700000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13750000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13800000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13850000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13900000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.13950000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.14000000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.14050000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.14100000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.14150000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.14200000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.14250000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.14300000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.14350000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.14400000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
2.14450000,0.00000000,-inf,0.00000000,0.00000000,1 ,false
