temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.46036556,0.24468733,0.23315436,2.26097376
1.05000000,-1.44823067,0.26658778,0.26043551,2.45687598
1.10000000,-1.43353933,0.23808289,0.30259238,3.40739372
1.15000000,-1.41308244,0.21194222,0.32329391,4.13140062
1.20000000,-1.40343867,0.23554878,0.34890375,5.28869212
1.25000000,-1.38151378,0.20408067,0.38408724,6.77874597
1.30000000,-1.36260311,0.17527633,0.40938977,6.20958104
1.35000000,-1.33969889,0.19138711,0.43831974,6.22895831
1.40000000,-1.31815422,0.17205778,0.45009901,9.95778183
1.45000000,-1.29773622,0.21092544,0.48012675,10.67157216
1.50000000,-1.27160578,0.14665744,0.49128733,9.00930491
1.55000000,-1.24569378,0.16406067,0.50406962,8.31965126
1.60000000,-1.21010178,0.12621811,0.50400174,9.43393623
1.65000000,-1.19005844,0.12783556,0.50848946,7.82586365
1.70000000,-1.17052044,0.12388644,0.52014341,9.99598587
1.75000000,-1.13426178,0.11247756,0.50241649,7.36596699
1.80000000,-1.11260867,0.10415956,0.50294151,7.25402733
1.85000000,-1.07995133,0.09949978,0.48871152,7.05408664
1.90000000,-1.06626911,0.09837011,0.48155226,6.65577681
1.95000000,-1.03463800,0.09232733,0.46688427,5.64061898
2.00000000,-1.01703267,0.08668167,0.46328032,4.96478184
2.05000000,-0.99246778,0.07983056,0.45604666,4.01147072
2.10000000,-0.96790422,0.08065089,0.42800759,4.18526910
2.15000000,-0.94634667,0.07880278,0.40870349,3.94200020
2.20000000,-0.92878133,0.07809056,0.40612173,3.69671601
2.25000000,-0.90939400,0.07100889,0.39281856,3.05793481
2.30000000,-0.88666622,0.06791467,0.38112228,2.74670414
2.35000000,-0.87292333,0.06729322,0.37233437,2.62866321
2.40000000,-0.85286489,0.06792878,0.35435831,2.64596087
2.45000000,-0.83512422,0.06371667,0.33781875,2.27321512
2.50000000,-0.81593467,0.06364544,0.32815812,2.23976039
2.55000000,-0.79902267,0.06098822,0.31095090,2.02585615
2.60000000,-0.78675333,0.05934333,0.30417697,1.86682903
2.65000000,-0.77053978,0.05557000,0.29280676,1.62714954
2.70000000,-0.75544111,0.05652944,0.28708168,1.62549612
2.75000000,-0.74427733,0.05696333,0.27111726,1.63113319
2.80000000,-0.72769267,0.05454789,0.26306359,1.49661954
2.85000000,-0.71278111,0.05402211,0.25736814,1.43845303
2.90000000,-0.70329244,0.05293722,0.24508531,1.35033783
2.95000000,-0.68918800,0.05173733,0.23856182,1.26922274
3.00000000,-0.67830422,0.05100300,0.23000540,1.21906388
3.05000000,-0.66699222,0.05010478,0.22465518,1.15491522
3.10000000,-0.65643089,0.04961756,0.21474414,1.12581579
3.15000000,-0.64534533,0.04943200,0.20856150,1.09290157
3.20000000,-0.63517667,0.04882656,0.20073473,1.04824218
3.25000000,-0.62488378,0.04742611,0.19803818,0.97279702
3.30000000,-0.61556644,0.04676900,0.18889057,0.94009470
3.35000000,-0.60510800,0.04737367,0.18296418,0.93824492
3.40000000,-0.59772333,0.04551878,0.18378215,0.85745340
3.45000000,-0.58985622,0.04599900,0.17504327,0.85660611
3.50000000,-0.58038622,0.04529189,0.16728117,0.82449542
3.55000000,-0.57052578,0.04471300,0.16301421,0.79406845
3.60000000,-0.56316756,0.04443689,0.15817520,0.77495213
3.65000000,-0.55529667,0.04379178,0.15653410,0.74331587
3.70000000,-0.54648156,0.04352933,0.15034523,0.72073086
3.75000000,-0.53957289,0.04312544,0.14685753,0.69579891
3.80000000,-0.53363889,0.04330289,0.14596839,0.69366794
3.85000000,-0.52633067,0.04278078,0.14015989,0.66345622
3.90000000,-0.51958067,0.04218589,0.13746631,0.64432687
3.95000000,-0.51345911,0.04149978,0.13115956,0.61436463
4.00000000,-0.50594800,0.04186456,0.12985006,0.61089793
